Defect_ID,Module_Name,Severity,Priority,Execution_Time,Defect_Fix_Time,Detected_Phase,Automation_Covered,Tester_Experience,Lines_of_Code,Defect_Reopened,Build_Release
D00001,Notifications,High,P3,94.02342045039427,9.93,UAT,1,2.3,8716.022608119405,1,R06
D00002,Notifications,Critical,P1,20.93,8.69,Unit Test,1,7.9,744.0,0,R08
D00003,Dashboard,Medium,P3,38.12,6.5,System Test,0,3.7,1777.0,0,R05
D00004,Notifications,Low,P1,38.14,6.99,Unit Test,0,3.6,1926.0,1,R15
D00005,Search,Low,P2,25.13,7.88,Unit Test,1,8.2,1940.0,1,R12
D00006,Login,Low,P2,28.49,7.46,System Test,1,5.7,1693.0,0,R01
D00007,Reports,Medium,P2,19.8,7.48,System Test,1,5.5,1375.0,1,R02
D00008,Reports,Critical,P1,27.97,9.53,System Test,0,9.6,1622.0,0,R05
D00009,Search,High,P1,12.99,,System Test,0,7.5,411.0,0,R13
D00010,Login,Low,P2,22.57,5.62,System Test,0,7.8,1524.0,0,R18
D00011,Notifications,High,P3,34.84,10.16,System Test,0,5.2,1747.0,0,R02
D00012,Login,Medium,P3,25.99,8.19,UAT,0,4.2,1184.0,0,R02
D00013,Inventory,High,P3,6.16,3.82,System Test,1,8.6,449.0,0,R18
D00014,Dashboard,High,P2,22.35,7.31,Unit Test,0,7.2,756.0,0,R14
D00015,Notifications,Medium,P3,31.02,5.37,Unit Test,1,9.7,1519.0,0,R18
D00016,Payments,Medium,P2,25.27,8.66,System Test,0,6.8,1671.0,1,R08
D00017,Login,High,P2,20.45,8.52,Unit Test,1,7.9,1899.0,0,R10
D00018,Inventory,High,P2,32.64,7.85,UAT,0,7.9,1138.0,0,R15
D00019,Inventory,Medium,P2,29.77,7.82,System Test,1,9.4,1712.0,0,R06
D00020,Search,Low,P1,24.74,8.21,System Test,0,1.8,1581.0,1,R10
D00021,Login,High,P2,22.72,5.0,System Test,1,7.1,892.0,1,R10
D00022,Login,Critical,P2,31.57,10.53,System Test,0,1.9,1378.0,0,R05
D00023,Inventory,Critical,P3,11.45,7.3,System Test,1,9.8,460.0,0,R15
D00024,Reports,Critical,P2,33.56,12.05,UAT,0,8.6,1914.0,0,R15
D00025,Search,High,P2,10.76,3.01,System Test,1,9.9,309.0,0,R09
D00026,Payments,Medium,P3,23.48,3.9,System Test,1,5.9,1343.0,0,R16
D00027,Payments,Low,P3,,3.26,UAT,1,3.5,781.0,0,R03
D00028,Login,Critical,P2,32.98,11.98,System Test,1,8.5,1989.0,1,R08
D00029,Reports,High,P3,9.0,4.55,UAT,1,9.7,398.0,0,R08
D00030,Inventory,High,P1,19.39,8.05,System Test,1,4.9,1446.0,0,R13
D00031,Login,Critical,P1,16.61,,UAT,1,7.2,1214.0,0,R13
D00032,Search,Low,P2,10.52,1.59,UAT,0,3.5,102.0,0,R03
D00033,Payments,High,P2,32.54,7.34,System Test,0,1.9,1399.0,0,R08
D00034,Payments,Low,P2,28.55,6.74,System Test,0,2.7,1322.0,0,R18
D00035,Reports,Medium,P2,22.11,6.3,System Test,1,6.0,1309.0,1,R07
D00036,Inventory,Critical,P3,17.62,8.14,System Test,1,6.3,782.0,0,R17
D00037,Reports,Medium,P3,17.27,5.29,UAT,1,3.2,709.0,0,R11
D00038,Dashboard,Low,P3,8.13,2.1,UAT,0,2.6,421.0,0,R07
D00039,Payments,Low,P3,22.67,6.44,UAT,1,2.7,1668.0,0,R17
D00040,Dashboard,High,P2,27.48,9.45,System Test,1,4.6,1699.0,1,R10
D00041,Search,Medium,P2,36.71,8.68,System Test,0,3.6,1828.0,1,R14
D00042,Search,High,P2,19.54,5.65,System Test,0,6.5,782.0,0,R17
D00043,Dashboard,Medium,P2,19.02,6.38,Unit Test,1,9.3,1436.0,1,R13
D00044,Dashboard,Low,P2,1.0,3.05,System Test,0,5.4,133.0,0,R17
D00045,Inventory,Medium,P2,29.61,8.1,Unit Test,1,2.8,1876.0,0,R16
D00046,Inventory,Medium,P1,19.47,6.83,UAT,0,1.3,1027.0,0,R19
D00047,Dashboard,High,P1,23.24,8.28,UAT,1,2.5,1323.0,0,R17
D00048,Search,Medium,P3,29.72,9.13,UAT,0,3.3,1782.0,0,R03
D00049,Search,Low,P3,16.74,6.59,System Test,0,9.2,1378.0,0,R15
D00050,Payments,Low,P3,18.13,7.61,UAT,0,8.8,1865.0,0,R16
D00051,Inventory,Medium,P2,26.29,6.09,System Test,0,8.0,1356.0,0,R14
D00052,Inventory,Low,P2,22.18,6.05,UAT,1,5.0,1784.0,0,R20
D00053,Search,Critical,P2,32.17,11.25,System Test,0,2.1,1537.0,0,R09
D00054,Search,Medium,P2,10.76,5.24,Unit Test,0,1.9,596.0,0,R07
D00055,Payments,Critical,P3,28.82,8.13,Unit Test,1,7.3,998.0,0,R06
D00056,Inventory,Critical,P3,,11.96,Unit Test,0,1.6,1778.0,0,R20
D00057,Notifications,Low,P3,2.62,4.21,System Test,1,4.0,967.0,0,R10
D00058,Search,Critical,P2,20.35,7.83,UAT,0,3.6,738.0,0,R17
D00059,Login,Medium,P3,31.85,7.14,Unit Test,0,2.9,1439.0,0,R18
D00060,Notifications,High,P3,20.76,6.46,System Test,0,1.5,864.0,0,R20
D00061,Login,Low,P2,6.64,2.2,Unit Test,0,1.2,626.0,0,R07
D00062,Inventory,Medium,P2,11.0,4.11,System Test,1,6.2,535.0,1,R17
D00063,Login,Medium,P3,9.71,4.23,System Test,1,6.6,572.0,0,R11
D00064,Dashboard,Low,P1,11.03,2.6,Unit Test,0,8.9,994.0,0,R17
D00065,Login,Low,P2,7.59,4.58,System Test,0,5.9,1283.0,0,R01
D00066,Notifications,Low,P3,19.83,4.7,UAT,0,1.1,923.0,0,R09
D00067,Payments,Critical,P3,9.61,7.83,UAT,0,9.3,405.0,1,R14
D00068,Inventory,Low,P2,1.0,4.84,System Test,1,9.7,971.0,0,R05
D00069,Inventory,Medium,P3,21.6,4.88,System Test,1,3.5,902.0,0,R16
D00070,Dashboard,High,P2,21.38,6.73,System Test,1,7.5,619.0,0,R04
D00071,Payments,Low,P2,8.52,4.82,UAT,1,8.5,1376.0,0,R05
D00072,Login,Low,P2,1.92,2.3,UAT,1,7.8,145.0,0,R02
D00073,Dashboard,Low,P1,11.23,2.63,System Test,0,3.0,652.0,0,R05
D00074,Inventory,Critical,P3,34.96,11.4,Unit Test,0,1.7,1833.0,0,R12
D00075,Search,Medium,P3,1.0,5.63,Unit Test,1,8.3,341.0,0,R16
D00076,Login,Low,P2,27.14,,System Test,0,9.0,1587.0,1,R20
D00077,Reports,High,P2,25.18,7.83,System Test,0,5.3,985.0,0,R09
D00078,Dashboard,High,P2,8.92,6.96,System Test,1,4.1,347.0,0,R10
D00079,Login,High,P2,5.03,4.78,System Test,0,9.4,321.0,0,R15
D00080,Payments,Critical,P3,12.94,8.1,Unit Test,0,6.3,817.0,0,R13
D00081,Notifications,Medium,P2,8.29,5.55,System Test,1,7.5,608.0,0,R07
D00082,Notifications,Medium,P2,16.8,6.16,Unit Test,1,1.1,1051.0,0,R12
D00083,Search,Medium,P2,14.65,5.83,Unit Test,1,9.6,768.0,0,R01
D00084,Search,Medium,P3,31.72,8.42,System Test,1,9.7,1734.0,0,R11
D00085,Search,Critical,P3,11.5,5.9,Unit Test,1,8.3,334.0,0,R12
D00086,Reports,Medium,P1,1.84,3.35,System Test,1,4.0,275.0,1,R04
D00087,Notifications,Critical,P3,5.68,8.62,System Test,1,5.1,572.0,0,R18
D00088,Reports,Low,P3,6.94,3.25,Unit Test,1,2.4,712.0,0,R16
D00089,Reports,Low,P3,16.83,7.54,System Test,0,6.8,1838.0,0,R04
D00090,Reports,Low,P2,10.94,4.3,UAT,0,7.0,792.0,1,R09
D00091,Notifications,High,P2,24.05,6.55,UAT,0,9.6,1053.0,0,R18
D00092,Search,Medium,P2,35.13,8.29,UAT,1,6.1,1838.0,0,R05
D00093,Reports,Low,P1,9.48,3.66,UAT,1,3.7,748.0,0,R12
D00094,Notifications,Medium,P3,18.12,7.61,System Test,0,8.6,1147.0,0,R16
D00095,Login,Medium,P2,12.11,7.29,Unit Test,1,7.6,1386.0,1,R19
D00096,Search,High,P2,15.55,7.84,Unit Test,1,8.8,1085.0,0,R01
D00097,Search,Medium,P2,4.5,3.71,System Test,0,7.3,104.0,0,R16
D00098,Payments,High,P2,8.17,7.95,System Test,0,,852.0,0,R18
D00099,Search,Critical,P2,12.55,6.55,UAT,0,2.4,276.0,0,R09
D00100,Inventory,Medium,P3,9.9,4.92,Unit Test,0,5.9,530.0,0,R06
D00101,Payments,Low,P3,16.52,5.22,System Test,1,7.4,1456.0,0,R04
D00102,Dashboard,Medium,P3,8.6,5.86,System Test,1,8.9,562.0,0,R08
D00103,Login,High,P1,,9.62,System Test,1,7.6,1412.0,0,R10
D00104,Login,Medium,P2,,8.42,Unit Test,1,1.8,1259.0,0,R03
D00105,Inventory,Low,P3,11.39,,System Test,0,7.6,1242.0,1,R17
D00106,Payments,Medium,P3,16.88,6.08,System Test,1,3.5,777.0,0,R10
D00107,Notifications,Low,P2,1.0,1.35,Unit Test,0,8.6,303.0,0,R15
D00108,Payments,Low,P2,16.11,,Unit Test,1,9.0,1463.0,0,R13
D00109,Notifications,High,P3,34.25,8.96,Unit Test,0,1.1,1525.0,0,R06
D00110,Search,Critical,P1,25.38,10.26,System Test,1,7.1,1512.0,1,R17
D00111,Dashboard,High,P3,16.79,5.79,Unit Test,0,6.3,966.0,0,R13
D00112,Search,High,P3,17.08,7.63,UAT,0,7.1,471.0,0,R17
D00113,Search,Low,P3,5.3,1.42,System Test,1,2.0,137.0,0,R17
D00114,Notifications,Medium,P3,28.07,8.17,Unit Test,0,2.4,1517.0,0,R20
D00115,Reports,Low,P3,23.84,7.3,Unit Test,1,2.1,1815.0,0,R05
D00116,Inventory,Medium,P1,6.38,3.59,System Test,1,3.8,744.0,0,R11
D00117,Dashboard,Critical,P2,11.07,6.7,Unit Test,1,2.2,349.0,1,R20
D00118,Login,High,P2,29.4,10.28,System Test,0,9.6,1836.0,1,R17
D00119,Reports,Low,P2,7.46,3.44,UAT,1,7.9,292.0,0,R06
D00120,Notifications,Critical,P2,5.33,7.27,UAT,1,3.2,223.0,0,R18
D00121,Login,Critical,P2,21.48,11.25,System Test,0,2.6,1427.0,0,R10
D00122,Reports,High,P2,33.66,8.92,System Test,1,4.7,1929.0,1,R01
D00123,Reports,Medium,P1,25.82,9.4,Unit Test,1,9.8,1623.0,0,R03
D00124,Notifications,Critical,P1,,10.2,System Test,1,3.4,1085.0,0,R08
D00125,Inventory,Medium,P1,27.37,6.32,System Test,1,4.4,1045.0,1,R02
D00126,Login,Low,P2,5.47,4.36,System Test,1,7.1,1273.0,0,R12
D00127,Login,High,P3,25.58,,System Test,1,1.1,1183.0,0,R12
D00128,Notifications,Low,P2,1.0,0.76,UAT,1,4.0,149.0,0,R07
D00129,Notifications,Medium,P1,13.2,7.01,System Test,1,1.4,692.0,0,R09
D00130,Inventory,Medium,P3,21.66,6.87,Unit Test,1,5.4,1036.0,0,R11
D00131,Reports,Critical,P3,25.77,10.18,System Test,1,8.6,1588.0,0,R12
D00132,Login,Critical,P2,20.61,8.34,UAT,0,4.9,846.0,0,R11
D00133,Inventory,Medium,P3,12.7,6.19,System Test,1,3.8,811.0,0,R01
D00134,Inventory,High,P3,26.14,9.67,UAT,1,9.3,1527.0,0,R10
D00135,Notifications,Critical,P2,15.27,7.56,UAT,0,3.7,382.0,0,R06
D00136,Login,Medium,P3,17.42,7.16,Unit Test,1,8.4,1277.0,0,R15
D00137,Inventory,Critical,P3,39.14,11.68,Unit Test,1,3.4,1802.0,1,R07
D00138,Login,Medium,P1,,5.37,System Test,1,6.1,687.0,0,R14
D00139,Reports,High,P2,16.82,5.49,Unit Test,1,9.8,364.0,0,R10
D00140,Payments,Medium,P2,11.39,4.2,System Test,0,,480.0,0,R08
D00141,Reports,High,P3,26.97,9.46,Unit Test,1,1.6,1427.0,0,R19
D00142,Reports,Medium,P3,16.02,5.61,UAT,0,8.5,1092.0,1,R04
D00143,Search,Medium,P2,23.17,6.64,Unit Test,1,4.3,1390.0,0,R19
D00144,Inventory,Low,P2,1.0,2.64,UAT,1,6.5,232.0,0,R08
D00145,Payments,High,P3,10.31,6.52,UAT,1,8.1,202.0,0,R19
D00146,Dashboard,Low,P3,19.97,5.87,System Test,1,4.9,1149.0,0,R19
D00147,Inventory,Medium,P2,24.9,6.69,Unit Test,1,3.7,1303.0,1,R03
D00148,Reports,Medium,P1,5.81,3.3,System Test,1,9.9,237.0,0,R04
D00149,Payments,Low,P2,8.17,3.76,UAT,0,5.2,588.0,0,R14
D00150,Payments,Low,P3,7.88,4.96,System Test,1,9.7,1502.0,0,R08
D00151,Reports,Critical,P2,25.4,8.76,System Test,0,4.1,946.0,0,R15
D00152,Reports,Medium,P3,13.88,4.75,System Test,0,7.4,538.0,0,R11
