,Tester_ID,Module,Total_TestCases_Executed,Defects_Found,Defect_Severity_Avg,Automation_Coverage,Execution_Hours,Avg_Closure_Time
0,T352,Login,50,19,3.2,80.7,95.2,9.36
1,T012,Login,134,4,4.7,59.0,87.6,10.52
2,T338,Reports,89,2,2.9,15.1,38.1,9.46
3,T327,Inventory,133,12,2.4,36.6,99.5,15.31
4,T064,Notifications,52,25,4.1,51.8,72.4,17.75
5,T088,Dashboard,72,21,4.1,22.4,58.3,17.86
6,T076,Dashboard,40,6,4.6,40.6,68.3,10.95
7,T496,Search,132,28,1.1,15.1,41.3,15.43
8,T394,Inventory,139,21,1.5,70.3,76.9,13.23
9,T462,Search,137,13,2.1,93.4,79.4,11.68
10,T041,Inventory,50,2,3.4,,22.3,8.85
11,T133,Reports,99,24,4.6,15.2,36.0,13.33
12,T064,Payments,47,13,4.6,61.5,71.9,11.01
13,T425,Orders,129,13,3.8,58.4,70.7,10.79
14,T246,Payments,20,11,1.0,57.5,40.8,8.5
15,T317,Orders,135,4,3.4,58.9,118.8,12.56
16,T221,Orders,122,20,3.3,57.3,22.8,11.82
17,T193,Orders,29,17,2.1,69.1,90.7,5.86
18,T111,Dashboard,43,16,2.1,33.1,,10.79
19,T006,Notifications,22,9,3.8,95.1,90.7,9.65
20,T397,Inventory,27,22,2.5,65.2,75.0,10.48
21,T478,Login,30,23,3.1,96.0,38.3,8.49
22,T041,Login,142,24,3.3,18.7,106.6,16.94
23,T050,Orders,68,11,1.8,33.6,11.1,6.86
24,T340,Notifications,105,14,3.5,80.1,38.9,14.41
25,T112,Search,119,24,4.5,,42.9,18.19
26,T137,Inventory,91,21,2.0,52.4,,7.14
27,T372,Notifications,107,13,4.0,24.8,58.2,11.55
28,T414,Inventory,126,23,2.7,22.6,13.5,16.88
29,T372,Payments,84,3,2.6,68.3,111.9,6.52
30,T060,Orders,41,11,4.5,93.6,82.9,11.75
31,T419,Payments,132,26,3.2,15.8,45.2,16.58
32,T045,Inventory,130,18,2.3,70.0,25.3,15.64
33,T329,Notifications,29,2,4.4,97.6,15.6,2.96
34,T250,Notifications,145,3,1.9,53.6,52.8,10.59
35,T276,Inventory,121,25,4.7,81.6,86.8,22.55
36,T127,Notifications,116,1,1.6,28.3,55.7,12.15
37,T395,Orders,23,21,4.4,39.1,88.6,11.19
38,T077,Login,21,19,,45.6,74.0,11.04
39,T224,Inventory,67,25,4.3,34.7,88.0,17.13
40,T108,Login,63,15,3.5,76.3,34.0,15.98
41,T344,Orders,75,15,4.5,53.3,29.4,10.16
42,T385,Orders,79,22,2.2,93.6,85.9,13.67
43,T106,Payments,71,13,4.3,,115.4,13.49
44,T458,Payments,112,13,2.5,80.4,67.0,13.64
45,T240,Reports,45,24,4.5,73.8,37.3,11.29
46,T265,Payments,101,6,4.3,72.0,58.0,11.76
47,T063,Search,137,26,4.7,64.7,75.4,20.09
48,T165,Dashboard,21,22,3.0,38.5,27.0,12.41
49,T468,Inventory,97,14,3.9,83.7,58.4,14.54
50,T100,Inventory,20,29,2.0,22.2,98.7,14.76
51,T285,Inventory,73,27,2.7,94.6,17.6,15.53
52,T320,Login,73,27,4.9,,117.4,12.19
53,T008,Orders,109,0,2.0,44.6,19.6,7.76
54,T395,Search,30,13,4.2,53.3,67.6,4.98
55,T437,Dashboard,141,4,1.3,44.3,98.5,13.6
56,T441,Notifications,25,6,4.3,72.2,64.3,6.58
57,T104,Reports,58,19,1.2,33.3,92.8,9.02
58,T295,Dashboard,89,6,3.0,21.0,12.1,11.39
59,T239,Inventory,27,1,2.8,32.5,51.2,3.38
60,T330,Inventory,141,28,3.6,74.6,24.4,19.79
61,T437,Dashboard,23,14,2.9,74.7,36.2,8.5
62,T403,Dashboard,105,24,1.9,87.9,10.4,14.09
63,T328,Reports,39,27,1.4,52.7,10.3,13.48
64,T104,Login,132,4,1.9,18.3,60.8,2.93
65,T400,Orders,127,23,1.6,91.7,15.4,14.46
66,T301,Inventory,116,15,1.3,85.5,109.7,12.63
